,Year,Commodity,State,Yield_lb_per_acre,Acres_Harvested,Price_in_CWT,HUMIDITY_%,PH_soil_type,Population,prop_topic_RO,prop_topic_GE,prop_topic_WE
55,2017,CORN,ARIZONA,10920.0,32000,7.696428571,43,6.215109715,7048.088,0.3701333333333333,0.08995555555555555,0.5399111111111111
56,2016,CORN,ARIZONA,12040.0,50000,6.446428571,42,7.120272972,6944.767,0.3908450704225352,0.0880281690140845,0.5211267605633803
57,2016,CORN,ARIZONA,12040.0,50000,6.446428571,42,7.120272972,6944.767,0.6045966228893058,0.10928705440900563,0.2861163227016886
58,2015,CORN,ARIZONA,11760.0,36000,7.267857143,56,5.950647577,6832.81,0.32113821138211385,0.08943089430894309,0.5894308943089431
59,2015,CORN,ARIZONA,11760.0,36000,7.267857143,56,5.950647577,6832.81,0.5151943462897527,0.13356890459363957,0.3512367491166078
60,2014,CORN,ARIZONA,11760.0,28000,7.714285714,51,7.236705436,6732.873,0.1556420233463035,0.11673151750972763,0.7276264591439688
61,2014,CORN,ARIZONA,11760.0,28000,7.714285714,51,7.236705436,6732.873,0.2718006795016987,0.1755379388448471,0.5526613816534541
62,2013,CORN,ARIZONA,9912.0,51000,7.482142857,52,6.501697816,6634.69,0.037337662337662336,0.25,0.7126623376623377
63,2019,WHEAT,ARIZONA,6240.0,35000,11.01666667,36,6.946209881,7291.843,0.5221774193548387,0.0907258064516129,0.3870967741935484
64,2019,WHEAT,ARIZONA,6240.0,35000,11.01666667,36,6.946209881,7291.843,0.5293923381770145,0.08652575957727873,0.38408190224570676
65,2018,WHEAT,ARIZONA,6156.0,77000,9.216666667,35,5.739175027,7164.228,0.5594132029339853,0.1432762836185819,0.29731051344743276
66,2018,WHEAT,ARIZONA,6156.0,77000,9.216666667,35,5.739175027,7164.228,0.6444979047027782,0.12952040974701226,0.22598168555020953
67,2017,WHEAT,ARIZONA,6048.0,105000,9.183333333,46,6.738652179,7048.088,0.27518959913326113,0.11700975081256772,0.6078006500541712
68,2017,WHEAT,ARIZONA,6048.0,105000,9.183333333,46,6.738652179,7048.088,0.3701333333333333,0.08995555555555555,0.5399111111111111
69,2016,WHEAT,ARIZONA,5868.0,103000,8.083333333,37,5.594819626,6944.767,0.3908450704225352,0.0880281690140845,0.5211267605633803
70,2016,WHEAT,ARIZONA,5868.0,103000,8.083333333,37,5.594819626,6944.767,0.6045966228893058,0.10928705440900563,0.2861163227016886
71,2015,WHEAT,ARIZONA,6060.0,152000,6.933333333,38,6.946636369,6832.81,0.32113821138211385,0.08943089430894309,0.5894308943089431
72,2015,WHEAT,ARIZONA,6060.0,152000,6.933333333,38,6.946636369,6832.81,0.5151943462897527,0.13356890459363957,0.3512367491166078
73,2014,WHEAT,ARIZONA,6606.0,83000,8.916666667,46,5.012139669,6732.873,0.1556420233463035,0.11673151750972763,0.7276264591439688
74,2014,WHEAT,ARIZONA,6606.0,83000,8.916666667,46,5.012139669,6732.873,0.2718006795016987,0.1755379388448471,0.5526613816534541
75,2013,WHEAT,ARIZONA,5964.0,84000,10.91666667,47,6.363472208,6634.69,0.037337662337662336,0.25,0.7126623376623377
76,2019,OATS,ARKANSAS,2240.0,3000,8.75,64,7.283736617,3014.348,0.14148681055155876,0.14628297362110312,0.7122302158273381
77,2019,OATS,ARKANSAS,2240.0,3000,8.75,64,7.283736617,3014.348,0.5221774193548387,0.0907258064516129,0.3870967741935484
78,2018,OATS,ARKANSAS,2400.0,7000,8.59375,64,7.023936392,3012.161,0.11284046692607004,0.27348526959421904,0.613674263479711
